steamid,game
76561198217186687,Darkest Hour: Europe '44-'45
76561198217186687,SiN Episodes: Emergence
76561198217186687,SiN Multiplayer
76561198217186687,SiN: Gold
76561198217186687,Darwinia
76561197966617426,10
76561197966617426,Team Fortress Classic
76561197966617426,Day of Defeat
76561197966617426,Deathmatch Classic
76561197966617426,Half-Life: Opposing Force
76561197966617426,Ricochet
76561197966617426,Half-Life
76561197966617426,Counter-Strike: Condition Zero
76561197966617426,Counter-Strike: Condition Zero Deleted Scenes
76561197966617426,Half-Life: Blue Shift
76561197966617426,Half-Life 2
76561197966617426,Counter-Strike: Source
76561197966617426,Half-Life: Source
76561197966617426,Day of Defeat: Source
76561197966617426,Half-Life 2: Deathmatch
76561198072361453,10
76561198072361453,Team Fortress Classic
76561198072361453,Day of Defeat
76561198072361453,Deathmatch Classic
76561198072361453,Half-Life: Opposing Force
76561198072361453,Ricochet
76561198072361453,Half-Life
76561198072361453,Counter-Strike: Condition Zero
76561198072361453,Counter-Strike: Condition Zero Deleted Scenes
76561198072361453,Half-Life: Blue Shift
76561198072361453,Half-Life 2
76561198072361453,Counter-Strike: Source
76561198072361453,Half-Life: Source
76561198072361453,Day of Defeat: Source
76561198072361453,Half-Life 2: Deathmatch
76561199187733000,10
76561199187733000,Team Fortress Classic
76561199187733000,Day of Defeat
76561199187733000,Deathmatch Classic
76561199187733000,Half-Life: Opposing Force
76561199187733000,Ricochet
76561199187733000,Half-Life
76561199187733000,Counter-Strike: Condition Zero
76561199187733000,Counter-Strike: Condition Zero Deleted Scenes
76561199187733000,Half-Life: Blue Shift
76561199187733000,Half-Life 2
76561199187733000,Counter-Strike: Source
76561199187733000,Half-Life: Source
76561199187733000,Day of Defeat: Source
76561199187733000,Half-Life 2: Deathmatch
76561198413266831,Counter-Strike: Condition Zero Deleted Scenes
76561198413266831,Half-Life: Blue Shift
76561198413266831,Half-Life 2
76561198413266831,Half-Life: Source
76561198413266831,Portal
76561198413266831,Portal 2
76561198413266831,SiN Episodes: Emergence
76561198413266831,SiN Multiplayer
76561198413266831,SiN: Gold
76561198413266831,Darwinia
76561198413266831,Uplink
76561198413266831,DEFCON
76561198413266831,DEFCON Beta Demo
76561198413266831,Multiwinia
76561198413266831,Dangerous Waters
76561198152760885,10
76561198152760885,Team Fortress Classic
76561198152760885,Day of Defeat
76561198152760885,Deathmatch Classic
76561198152760885,Half-Life: Opposing Force
76561198152760885,Ricochet
76561198152760885,Half-Life
76561198152760885,Counter-Strike: Condition Zero
76561198152760885,Counter-Strike: Condition Zero Deleted Scenes
76561198152760885,Half-Life: Blue Shift
76561198152760885,Half-Life 2
76561198152760885,Counter-Strike: Source
76561198152760885,Half-Life: Source
76561198152760885,Day of Defeat: Source
76561198152760885,Half-Life 2: Deathmatch
76561198061393233,10
76561198061393233,Team Fortress Classic
76561198061393233,Day of Defeat
76561198061393233,Deathmatch Classic
76561198061393233,Half-Life: Opposing Force
76561198061393233,Ricochet
76561198061393233,Half-Life
76561198061393233,Counter-Strike: Condition Zero
76561198061393233,Counter-Strike: Condition Zero Deleted Scenes
76561198061393233,Half-Life: Blue Shift
76561198061393233,Half-Life 2
76561198061393233,Counter-Strike: Source
76561198061393233,Half-Life: Source
76561198061393233,Day of Defeat: Source
76561198061393233,Half-Life 2: Deathmatch
76561198093753361,10
76561198093753361,Team Fortress Classic
76561198093753361,Day of Defeat
76561198093753361,Deathmatch Classic
76561198093753361,Half-Life: Opposing Force
76561198093753361,Ricochet
76561198093753361,Half-Life
76561198093753361,Counter-Strike: Condition Zero
76561198093753361,Counter-Strike: Condition Zero Deleted Scenes
76561198093753361,Half-Life: Blue Shift
76561198093753361,Half-Life 2
76561198093753361,Counter-Strike: Source
76561198093753361,Half-Life: Source
76561198093753361,Day of Defeat: Source
76561198093753361,Half-Life 2: Deathmatch
76561198017975643,10
76561198017975643,Team Fortress Classic
76561198017975643,Day of Defeat
76561198017975643,Deathmatch Classic
76561198017975643,Half-Life: Opposing Force
76561198017975643,Ricochet
76561198017975643,Half-Life
76561198017975643,Counter-Strike: Condition Zero
76561198017975643,Counter-Strike: Condition Zero Deleted Scenes
76561198017975643,Half-Life: Blue Shift
76561198017975643,Half-Life 2
76561198017975643,Counter-Strike: Source
76561198017975643,Half-Life: Source
76561198017975643,Day of Defeat: Source
76561198017975643,Half-Life 2: Deathmatch
76561198040421250,10
76561198040421250,Team Fortress Classic
76561198040421250,Day of Defeat
76561198040421250,Deathmatch Classic
76561198040421250,Half-Life: Opposing Force
76561198040421250,Ricochet
